Designator,Mid X,Mid Y,Rotation,Layer
R401,11.93,-91.22,0.0,top
R402,102.073415,-74.8774,270.0,top
R403,105.273415,-71.9274,0.0,bottom
R404,100.198415,-73.8774,270.0,bottom
R405,115.8,-74.0,0.0,top
R406,103.7,-63.390001,90.0,bottom
R407,104.098415,-74.8774,270.0,bottom
R408,101.8,-63.390001,90.0,bottom
R409,102.75,-63.390001,90.0,bottom
R410,98.273415,-74.8774,270.0,bottom
R411,100.85,-63.390001,90.0,bottom
R412,97.288415,-74.8874,270.0,bottom
R413,97.95,-63.390001,90.0,bottom
R414,96.298415,-74.8774,270.0,bottom
R415,99.9,-63.409999,90.0,bottom
R416,105.098415,-74.8774,270.0,bottom
R417,103.098415,-74.8874,270.0,bottom
R418,106.073415,-74.8674,270.0,bottom
R419,98.95,-63.390001,90.0,bottom
R420,99.223415,-74.8774,270.0,bottom
R421,104.65,-63.390001,90.0,bottom
R422,102.123415,-74.9124,270.0,bottom
R423,105.6,-63.390001,90.0,bottom
R424,106.55,-63.390001,90.0,bottom
R425,107.5,-63.390001,90.0,bottom
R426,101.148415,-74.9024,270.0,bottom
R427,110.259999,-67.25,180.0,bottom
R428,110.259999,-68.225,180.0,bottom
R429,110.259999,-66.275,180.0,bottom
R430,107.073415,-74.8674,270.0,bottom
R501,81.033415,-57.4374,270.0,bottom
R502,85.703415,-54.6274,270.0,bottom
R503,86.673415,-52.0074,90.0,bottom
R504,85.723415,-52.5774,90.0,bottom
R505,86.703415,-54.1474,270.0,bottom
R506,74.883415,-42.9174,0.0,bottom
R507,74.883415,-44.9074,0.0,bottom
R508,74.883415,-46.8974,0.0,bottom
R509,74.913415,-48.1474,180.0,bottom
R510,74.153415,-58.0874,270.0,bottom
R511,77.793415,-42.9174,0.0,bottom
R513,110.683415,-44.4259,90.0,top
R514,108.31,-44.01,0.0,top
R515,108.31,-46.0,0.0,top
R516,108.31,-47.99,0.0,top
R517,108.31,-49.98,0.0,top
R518,108.31,-51.97,0.0,top
R519,108.31,-53.96,0.0,top
R601,70.3,-73.32,90.0,top
R602,70.3,-75.24,90.0,top
R603,9.23,-93.02,0.0,top
R604,9.63,-94.82,0.0,top
R701,51.3475,-109.4,0.0,top
R704,18.01,-97.1,0.0,top
R706,130.4325,-126.29,0.0,top
R708,20.92,-93.12,0.0,top
R709,133.3425,-120.32,0.0,top
R710,133.3425,-122.31,0.0,top
R711,69.81,-66.3,0.0,top
R713,69.3,-70.71,270.0,top
R714,71.71,-67.3,180.0,top
R715,134.917,-30.19,0.0,top
R801,24.93,-82.72,0.0,top
R902,101.4175,-46.195,270.0,top
R903,93.2275,-44.985,0.0,top
R904,63.3,-45.61,0.0,top
R905,63.3,-47.6,0.0,top
R906,63.3,-49.59,0.0,top
R907,66.21,-45.61,0.0,top
R908,66.21,-47.6,0.0,top
R909,66.21,-49.59,0.0,top
S201,45.325,-116.6875,270.0,top
S601,70.025,-56.4875,270.0,top
S602,69.925,-32.3875,270.0,top
S603,70.025,-50.3875,270.0,top
S604,70.025,-44.3875,270.0,top
S605,70.025,-38.3875,270.0,top
S701,53.8525,-103.885,270.0,top
S702,133.6375,-124.8,0.0,top
TH201,70.55,-89.588207,270.0,top
U1,80.533408,-50.21739,0.0,top
U201,73.15,-84.428207,270.0,top
U203,77.55,-94.998207,180.0,top
U3,80.1,-81.9,270.0,top
U301,81.673415,-68.8774,0.0,top
U401,102.873415,-68.7774,270.0,top
U502,110.51,-47.5259,90.0,top
U503,110.693415,-50.9259,90.0,top
U701,138.9,-26.69,0.0,top
U702,138.9,-29.64,0.0,top
U801,94.462,-91.6453,180.0,top
U802,91.0,-92.3775,0.0,top
U901,96.7925,-50.185,90.0,top
Y601,71.8,-64.25,270.0,top
Y701,71.275,-69.525,0.0,top
